"Município";"Peixes";"Carpa";"Curimatã, curimbatá";"Dourado";"Jatuarana, piabanha e piracanjuba";"Lambari";"Matrinxã";"Pacu e patinga";"Piau, piapara, piauçu, piava";"Pintado, cachara, cachapira e pintachara, surubim";"Pirapitinga";"Pirarucu";"Tambacu, tambatinga";"Tambaqui";"Tilápia";"Traíra e trairão";"Truta";"Tucunaré";"Outros peixes";"Alevinos";"Camarão";"Larvas e pós-larvas de camarão";"Ostras, vieiras e mexilhões";"Sementes de moluscos";"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)"
"Prata do Piauí (PI)";"...";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Queimada Nova (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Redenção do Gurguéia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28";"-";"-";"-";"-";"31";"-";"-";"-";"-";"-";"-"
"Regeneração (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"135";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Riacho Frio (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Ribeira do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Ribeiro Gonçalves (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28";"29";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Rio Grande do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"75";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Cruz do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"17";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Cruz dos Milagres (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"250";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Filomena (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Santa Luz (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"161";"-";"-";"-";"-";"76";"-";"-";"-";"-";"-";"-"
"Santa Rosa do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"840";"-";"-";"-";"-";"75";"-";"-";"-";"-";"-";"-"
"Santo Inácio do Piauí (PI)";"...";"-";"1";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"72";"-";"-";"-";"-";"19";"-";"-";"-";"-";"-";"-"
"São Félix do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"71";"178";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Francisco de Assis do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São Francisco do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"60";"2";"0";"-";"-";"26";"-";"-";"-";"-";"-";"-"
"São Gonçalo do Gurguéia (PI)";"...";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Gonçalo do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53";"5";"21";"-";"-";"-";"55";"-";"-";"-";"-";"-";"-"
"São João da Fronteira (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São João da Serra (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"80";"1061";"135";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São João da Varjota (PI)";"...";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"21";"17";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-"
"São João do Arraial (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"917";"171";"153";"-";"-";"-";"18";"-";"-";"-";"-";"-";"-"
"São João do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"22";"-";"-";"384";"61";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São José do Divino (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São José do Peixe (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-"
"São José do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Luis do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Miguel da Baixa Grande (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Miguel do Fidalgo (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"13";"-";"-";"-";"171";"92";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-"
"São Miguel do Tapuio (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"51";"1146";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Pedro do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"285";"12";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-"
"São Raimundo Nonato (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sebastião Barros (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Sebastião Leal (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11";"-";"-";"-";"-";"13";"-";"-";"-";"-";"-";"-"
"Sigefredo Pacheco (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"191";"72";"100";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Simões (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9";"21";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-"
"Simplício Mendes (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"154";"27";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Socorro do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"60";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sussuapara (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"240";"252";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Tamboril do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Tanque do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"224";"10";"1";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-"
"Teresina (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"776";"2750";"480";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"União (PI)";"...";"-";"36";"-";"-";"-";"-";"-";"-";"70";"-";"-";"454";"2252";"636";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Uruçuí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"81";"23";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Valença do Piauí (PI)";"...";"2";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"332";"11";"33";"-";"-";"-";"24";"-";"-";"-";"-";"-";"-"
"Várzea Grande (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"93";"198";"4";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-"
"Vera Mendes (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"52";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Vila Nova do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Wall Ferraz (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"23";"182";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
