"Município";"Peixes";"Carpa";"Curimatã, curimbatá";"Dourado";"Jatuarana, piabanha e piracanjuba";"Lambari";"Matrinxã";"Pacu e patinga";"Piau, piapara, piauçu, piava";"Pintado, cachara, cachapira e pintachara, surubim";"Pirapitinga";"Pirarucu";"Tambacu, tambatinga";"Tambaqui";"Tilápia";"Traíra e trairão";"Truta";"Tucunaré";"Outros peixes";"Alevinos";"Camarão";"Larvas e pós-larvas de camarão";"Ostras, vieiras e mexilhões";"Sementes de moluscos";"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)"
"Prata do Piauí (PI)";"...";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Queimada Nova (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Redenção do Gurguéia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"32";"-";"-";"-";"-";"39";"-";"-";"-";"-";"-";"-"
"Regeneração (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"138";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Riacho Frio (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Ribeira do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Ribeiro Gonçalves (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"126";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Rio Grande do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Santa Cruz do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Cruz dos Milagres (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"104";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Filomena (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13";"104";"-";"-";"-";"-";"13";"-";"-";"-";"-";"-";"-"
"Santa Luz (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"62";"-";"-";"-";"-";"33";"-";"-";"-";"-";"-";"-"
"Santa Rosa do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1266";"-";"-";"-";"-";"16";"-";"-";"-";"-";"-";"-"
"Santo Inácio do Piauí (PI)";"...";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"89";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Félix do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"72";"180";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Francisco de Assis do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São Francisco do Piauí (PI)";"...";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"112";"14";"4";"1";"-";"-";"3";"-";"-";"-";"-";"-";"-"
"São Gonçalo do Gurguéia (PI)";"...";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"56";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Gonçalo do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"60";"6";"24";"-";"-";"-";"60";"-";"-";"-";"-";"-";"-"
"São João da Fronteira (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São João da Serra (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"927";"116";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São João da Varjota (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São João do Arraial (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"684";"269";"146";"-";"-";"-";"23";"-";"-";"-";"-";"-";"-"
"São João do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"26";"-";"-";"-";"409";"30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São José do Divino (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"8";"-";"-";"-";"-";"12";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-"
"São José do Peixe (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São José do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Luis do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São Miguel da Baixa Grande (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Miguel do Fidalgo (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"17";"-";"-";"-";"141";"44";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Miguel do Tapuio (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"48";"1060";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Pedro do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"325";"14";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-"
"São Raimundo Nonato (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"103";"13";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sebastião Barros (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Sebastião Leal (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sigefredo Pacheco (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"211";"80";"111";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Simões (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11";"48";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Simplício Mendes (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Socorro do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"66";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sussuapara (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"233";"198";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Tamboril do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Tanque do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-"
"Teresina (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"281";"2793";"444";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"União (PI)";"...";"-";"34";"-";"-";"-";"-";"-";"-";"65";"-";"-";"434";"2189";"605";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Uruçuí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"150";"25";"190";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Valença do Piauí (PI)";"...";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"59";"16";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-"
"Várzea Grande (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"104";"217";"4";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-"
"Vera Mendes (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"45";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Vila Nova do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Wall Ferraz (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"186";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
